sign_id,gloss,source_video,dominant_hand,handshape,location,movement,facial_expression,mouth_pattern,head_movement,non_manual_obligatory,annotation_source,annotator_notes
GSL_001,WHERE,WHERE (Zenodo),Right only,1-hand — index finger extended pointing,Neutral space to the side of body,Repeated lateral wagging right to left,Eyebrows raised throughout entire hand movement,Signer mouths 'where',—,Yes — eyebrow raise is grammatical WH-marker,Direct video observation,"Eyebrow raise sustained across full sign duration confirming grammatical scope. Mouthing of spoken word co-occurs — unclear whether obligatory or signer-specific contact phenomenon with English. Video angle makes it difficult to distinguish eyebrow raise from wide-eye opening precisely."
GSL_002,WATER,WATER (Zenodo),Right only,"Three fingers extended loosely hanging — not cleanly folded; thumb position unclear from video angle",Mouth — hand makes contact or near-contact,Repeated forward and back movement toward mouth,Neutral,O-shape synchronised with hand at mouth position,—,Unclear — O-shape may be co-articulatory effect of hand approaching mouth,Direct video observation,"Handshape differs from citation W-hand — fingers hang loosely rather than cleanly tucked. Thumb not visible clearly from video angle. Mouth O-shape appears specifically at moment of hand-mouth proximity not throughout — raises question of phonological mouth pattern vs co-articulatory effect. Single camera angle limits confidence."
GSL_003,WORK,WORK (Zenodo),Both hands,Both S-hands closed fists — knuckles of dominant right hand face forward,Neutral space — right knuckles contact back of left hand,Dominant hand hits back of non-dominant hand three times repeated tapping,Neutral to focused,Signer mouths 'work' — three mouth movements synchronised with hits,Head nod three times synchronised with each hit,Unclear — head nod and mouthing may be prosodic/emphasis rather than grammatically obligatory,Direct video observation,"Head nod synchronised beat-for-beat with hand movement — three nods three hits. Raises question of whether head movement is prosodic beat marker rather than lexical/grammatical NMM. Mouthing pattern consistent across WHERE WATER WORK — suggests signer-specific habit or English contact influence."
GSL_004,MOTHER,MOTHER (Zenodo),Both hands,Open-5 hand both — all fingers extended spread,Chest / sternum,Static bilateral hold both hands contact chest,Neutral to warm,Mouth pattern 'mum',—,Possible — body contact location may be phonologically contrastive,Literature + GSL lexicon,"Kinship signs in GSL frequently use body-contact location as a phonological feature. Mouthing of 'mum' consistent with contact phenomenon observed across dataset."
GSL_005,FATHER,FATHER (Zenodo),Both hands,Open-5 hand — all fingers extended,Forehead / temple,Static hold or single tap at forehead,Neutral,Mouth pattern 'dad',—,Possible,Annotator knowledge + GNAD dictionary,"Location at forehead contrasts with MOTHER at chest — minimal pair candidate on location parameter. Annotated from author's own GSL knowledge cross-referenced against GNAD dictionary."
GSL_006,EAT,EAT (Zenodo),Right only,Flat-O / bunched hand — fingertips meet thumb,Mouth,Repeated path toward mouth depicting eating action,Neutral to chewing,Chewing mouth movement — obligatory,—,Yes — mouth pattern is semantically integral to sign,Literature + GSL lexicon,"Mouth pattern for EAT is widely documented as obligatory across sign languages with ASL influence. Iconic: hand shape and movement depict food entering mouth."
GSL_007,SLEEP,SLEEP (Zenodo),Both hands,Open-B both hands — flat fingers together,Face / cheek area,Hands converge toward face head tilts laterally,Eyes closed or lowered — semantically obligatory,—,Lateral head tilt,Yes — eyes closed is semantically obligatory,Literature + GSL lexicon,"Facial expression (eyes closed) is semantically obligatory — signing SLEEP with open eyes would be marked or ungrammatical. Head tilt co-occurs consistently in documented productions."
GSL_008,HAPPY,HAPPY (Zenodo),Both hands,Open-B / 5-hand both — fingers extended spread,Chest,Upward circular movement on chest,Smile raised cheeks — semantically obligatory,—,—,Yes — smile is semantically contrastive with SAD,Annotator knowledge + GNAD dictionary,"Facial expression semantically obligatory and contrastive with SAD which uses downturned mouth. Annotated from author's own GSL knowledge."
GSL_009,SAD,SAD (Zenodo),Both hands,Open-5 hand both — all fingers extended spread,Face / cheeks,Downward bilateral movement along cheeks,Downturned mouth furrowed brow,—,Slight downward head tilt,Yes — facial expression semantically contrastive with HAPPY,Literature + GSL lexicon,"Downward movement of hands mirrors downward facial expression — strong iconic mapping between manual and non-manual features. Contrastive pair with HAPPY."
GSL_010,SCHOOL,SCHOOL (Zenodo),Both hands,Open-B both hands — flat fingers together,Neutral space,Repeated clap-like movement,Neutral,—,—,No — no obligatory NMM documented,Literature + GSL lexicon,"Low iconicity sign. No obligatory non-manual marker. Arbitrary form consistent with institutional/cultural signs that lack direct iconic motivation."
GSL_011,BOOK,BOOK (Zenodo),Both hands,Open-B both hands flat palms facing up,Neutral space,Single opening movement — directly depicts open book,Neutral,—,—,No — no obligatory NMM documented,Literature + GSL lexicon,"Highly iconic — hand movement directly depicts the referent object opening. One of clearest classifier-like depictive signs in dataset."
GSL_012,WALK,WALK (Zenodo),Right only,V-hand — index and middle fingers extended,Neutral space,Alternating finger movement depicting leg motion,Neutral,—,—,No — no obligatory NMM documented,Literature + GSL lexicon,"Classifier-like depictive sign — V-hand represents legs walking. High iconicity. Common across sign languages with varying handshapes."
